"`id`,""`name`"",""`login`"""
"41465,""business-support-finder"",""alphagov"""
"42750,""panopticon"",""alphagov"""
"42952,""whitehall"",""alphagov"""
"44108,""slimmer"",""alphagov"""
"52701,""plek"",""alphagov"""
"56941,""signonotron2"",""alphagov"""
"58827,""gds-api-adapters"",""alphagov"""
"58896,""govspeak"",""alphagov"""
"59519,""frontend"",""alphagov"""
"70769,""rummager"",""alphagov"""
"128476,""imminence"",""alphagov"""
"154208,""licence-finder"",""alphagov"""
"172825,""trade-tariff-backend"",""alphagov"""
"185366,""smokey"",""alphagov"""
"190783,""trade-tariff-frontend"",""alphagov"""
"288440,""EFG"",""alphagov"""
"292891,""design-principles"",""alphagov"""
"333984,""gds-sso"",""alphagov"""
"352799,""calendars"",""alphagov"""
"483343,""govuk_content_api"",""alphagov"""
"565425,""recommended-links"",""alphagov"""
"643805,""feedback"",""alphagov"""
"777221,""support"",""alphagov"""
"1958011,""travel-advice-publisher"",""alphagov"""
"2408921,""release"",""alphagov"""
"2749107,""fabric-scripts"",""alphagov"""
"316,""kaminari"",""amatsuda"""
"108091,""amcgala"",""amcgala"""
"71128,""script.xbmc.subtitles"",""amet"""
"56900,""anathema"",""anathema"""
"4635,""andlytics"",""AndlyticsProject"""
"40388,""split"",""andrew"""
"1378066,""24pullrequests"",""andrew"""
"25445,""platform_frameworks_base"",""android"""
"73636,""Flashtool"",""Androxyde"""
"9705,""redis-py"",""andymccurdy"""
"121975,""owlapi"",""ansell"""
"833,""redis-doc"",""antirez"""
"63256,""mozaik"",""antolikjan"""
"18584,""frameworks_base"",""AOKP"""
"48016,""packages_apps_ROMControl"",""AOKP"""
"143738,""packages_apps_Settings"",""AOKP"""
"4873,""lucene-solr"",""apache"""
"8304,""cassandra"",""apache"""
"12713,""hive"",""apache"""
"13773,""hbase"",""apache"""
"13802,""hadoop-common"",""apache"""
"13864,""struts2"",""apache"""
"36130,""pig"",""apache"""
"43726,""mahout"",""apache"""
"47945,""wicket"",""apache"""
"53170,""flume"",""apache"""
"57510,""oozie"",""apache"""
"62238,""camel"",""apache"""
"81748,""libcloud"",""apache"""
"87806,""zookeeper"",""apache"""
"148389,""qpid"",""apache"""
"226771,""karaf"",""apache"""
"289368,""accumulo"",""apache"""
"310014,""giraph"",""apache"""
"337902,""tika"",""apache"""
"340521,""ofbiz"",""apache"""
"638872,""qpid-proton"",""apache"""
"699871,""incubator-drill"",""apache"""
"704428,""sling"",""apache"""
"1223023,""clerezza"",""apache"""
"1619385,""cordova-android"",""apache"""
"10346,""pyes"",""aparo"""
"5444,""usergrid-stack"",""apigee"""
"18520,""cells"",""apotonick"""
"39648,""apotomo"",""apotonick"""
"63743,""appfuse"",""appfuse"""
"2676,""doorkeeper"",""applicake"""
"64630,""appscale"",""AppScale"""
"104780,""appscale-tools"",""AppScale"""
"1854341,""appverse-web"",""Appverse"""
"18353,""Pydev"",""aptana"""
"16246,""mongoid-history"",""aq1018"""
"692866,""GWTP"",""ArcBees"""
"5640,""Arduino"",""arduino"""
"23447,""jobsworth"",""ari"""
"60338,""arquillian-core"",""arquillian"""
"1298,""koala"",""arsduo"""
"42626,""spyne"",""arskom"""
"680826,""archivematica"",""artefactual"""
"10296,""emoji-cheat-sheet.com"",""arvida"""
"42011,""vanity"",""assaf"""
"19770,""alfanous"",""assem-ch"""
"66968,""atlas"",""atlasapi"""
"85135,""atlas-model"",""atlasapi"""
"85154,""atlas-persistence"",""atlasapi"""
"140373,""atlas-feeds"",""atlasapi"""
"224233,""atlas-applications"",""atlasapi"""
"239426,""atlas-search"",""atlasapi"""
"239902,""atlas-client"",""atlasapi"""
"34627,""Denizen"",""aufdemrand"""
"14901,""autotest"",""autotest"""
"954347,""autotest-client-tests"",""autotest"""
"956098,""virt-test"",""autotest"""
"1397979,""aws-sdk-ruby"",""aws"""
"1912872,""aws-cli"",""aws"""
"35039,""AxonFramework"",""AxonFramework"""
"33666,""wakame-vdc"",""axsh"""
"66190,""OpenTreeMap"",""azavea"""
"18234,""tmuxinator"",""aziz"""
"317806,""scilifelab"",""b97pla"""
"27739,""balanced-ruby"",""balanced"""
"327301,""balanced-python"",""balanced"""
"1922523,""balanced-docs"",""balanced"""
"366,""barchart-feed-ddf"",""barchart"""
"16719,""basex"",""BaseXdb"""
"6875,""riak-ruby-client"",""basho"""
"17196,""riak-python-client"",""basho"""
